Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
"ab cd",abcd41149512,"ID 894657331849420801",," ","Mon Aug 07 20:31:44 +0000 2017",84,326,660,90557,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1111513909029031938/09qr0At0_normal.jpg
"🌲🌳 Ike 🌳🌲",Autistlke,"ID 715645157689978883","Boston, MA"," That whenever any Form of Government becomes destructive of these ends, it is the Right of the People to alter or to abolish it, and to institute new Government","Thu Mar 31 21:01:16 +0000 2016",1235,627,60232,245309,,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1250186342690152448/zfqUF6MX_normal.jpg
🦑grawhel🦑,grawhel,"ID 1396907929530404871",," /170 pound/5'9/10% bf/wrist 5.5 inch/body count:11/vertical jump 38 inch/117 intelligence (IQ)/sperm count top 5%/+ canthal tilt/O+ blood type/Gemini/23 y.o./","Mon May 24 19:16:42 +0000 2021",41,224,1397,3602,https://youtu.be/gQtKJbptcns,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1616558996931969025/a3EI4BGb_normal.jpg
denizen,d_niz_n,"ID 1463127431007522816",," banner by @Swampland_
pfp by clock-heart","Tue Nov 23 12:49:03 +0000 2021",28,1633,7463,1,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1505937026708770823/EJz0iUvu_normal.jpg
℗,legochrist,"ID 1526568451044777998","🚂 ✞ ☤"," ","Tue May 17 14:21:10 +0000 2022",779,671,27869,95123,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1586523579331629057/9VZFDQ0__normal.jpg
"Irish Patty",curiosastro,"ID 1477194026319114243",," ","Sat Jan 01 08:24:51 +0000 2022",0,164,13,115,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1609472802175987712/5rH-PnP3_normal.jpg
"Chief Justice Keef 🇸🇪",Dr_Francia66,"ID 1354824510264860681",," Once again asking for tanks in Harvard Yard","Thu Jan 28 16:11:58 +0000 2021",638,2123,16757,22276,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1596666751562940423/2ZDWkbge_normal.jpg
「🫠」,_CH2OH_2,"ID 1450208988558204935",," 「いつだって忘れないでほしい、これの意味を本当にわかることなんて決してないって」","Mon Oct 18 21:15:49 +0000 2021",19,440,1798,11717,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1560137224175460355/jjSIDRx7_normal.jpg
dakrf,dakrf1,"ID 1323835042385203200",," 🐝 &","Wed Nov 04 03:50:50 +0000 2020",55,549,220,14218,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1323836904006066176/G28VfTfv_normal.jpg
Nick,wackassmixup,"ID 1307588506743574534",," A regular guy","Sun Sep 20 07:53:02 +0000 2020",37,849,925,6011,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1484415587237330945/BxPAC3_e_normal.png
"Chad ⚡️",Chadsonlight,"ID 1285965459142184960",," Just be yourself bro https://t.co/VWwKCe84Mg","Wed Jul 22 15:50:44 +0000 2020",807,324,16694,52858,https://usilaya.bandcamp.com/,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1608498903875190806/Px7JRFhn_normal.jpg
GooKing,Goofiendking,"ID 1571806693344038914",," Goo Serf","Mon Sep 19 10:21:49 +0000 2022",33,60,711,741,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1613460549039435776/NJ19Fc7W_normal.jpg
Temps,les_temps_forts,"ID 1348719604412129280","Ontario, Canada"," Ecclesiastes 1:9","Mon Jan 11 19:53:14 +0000 2021",197,2222,4080,37885,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1354714320286920705/xqRFnZzT_normal.jpg
"Bill Williams",mfndeerbitme,"ID 1598901235855278080",," ","Sat Dec 03 04:46:22 +0000 2022",19,327,668,552,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1603536036667265026/edDSXsKG_normal.jpg
Wæcnan,waecnan,"ID 1018970274035785728",," ash and glass","Mon Jul 16 21:26:59 +0000 2018",84,131,2824,60443,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1019012538338443264/bVuBBon2_normal.jpg
robokoprobot,robocop_robot,"ID 943027834318180352",," ","Tue Dec 19 07:58:51 +0000 2017",2,243,8,1083,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1614657110096191489/wJao4G6L_normal.jpg
"Free Northerner",FreeNortherner,"ID 1877198120","British North America"," Christian Reactionary","Tue Sep 17 22:51:24 +0000 2013",4425,891,62607,188,http://freenortherner.com/,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/642948270281523200/WoEbfA7b_normal.png
K,anglestaadt88,"ID 1574280961444945920",," ","Mon Sep 26 06:13:36 +0000 2022",115,223,70,1248,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1620549222478004225/WO9ID3aA_normal.jpg
𓂀,Opt_ima1,"ID 1499600514144686082",," 𝑇𝐻𝐸 𝐴𝑅𝑇𝐼𝑆𝑇 𝐼𝑆 𝐴𝐿𝑊𝐴𝑌𝑆 𝐸𝑁𝐺𝐴𝐺𝐸𝐷 𝐼𝑁 𝑊𝑅𝐼𝑇𝐼𝑁𝐺 𝐴 𝐷𝐸𝑇𝐴𝐼𝐿𝐸𝐷 𝐻𝐼𝑆𝑇𝑂𝑅𝑌 𝑂𝐹 𝑇𝐻𝐸 𝐹𝑈𝑇𝑈𝑅𝐸．","Fri Mar 04 04:20:06 +0000 2022",2,195,44,194,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1525662011618734081/Bf9pWGNa_normal.jpg
